timestamp,pid,python_cpu_pct,system_cpu_pct
2026-05-03T00:51:59.324460,11566,99.9,26.5
2026-05-03T00:51:59.824960,11566,97.9,25.5
2026-05-03T00:52:00.325420,11566,42.0,23.4
2026-05-03T00:52:00.825894,11566,0.0,0.0
2026-05-03T00:52:01.326339,11566,0.0,0.0
2026-05-03T00:52:01.826775,11566,0.0,0.0
2026-05-03T00:52:02.327236,11566,2.0,2.0
2026-05-03T00:52:02.827682,11566,0.0,0.5
2026-05-03T00:52:03.328123,11566,0.0,1.0
2026-05-03T00:52:03.828574,11566,0.0,4.0
2026-05-03T00:52:04.329015,11566,0.0,3.0
2026-05-03T00:52:04.829541,11566,0.0,0.0
2026-05-03T00:52:05.330085,11566,0.0,0.0
2026-05-03T00:52:05.830658,11566,0.0,1.0
2026-05-03T00:52:06.331240,11566,0.0,1.0
2026-05-03T00:52:06.831780,11566,0.0,0.0
2026-05-03T00:52:07.332323,11566,8.0,8.6
2026-05-03T00:52:07.832897,11566,0.0,3.5
2026-05-03T00:52:08.336786,11566,0.0,2.0
2026-05-03T00:52:08.837371,11566,0.0,3.9
2026-05-03T00:52:09.337976,11566,0.0,2.5
2026-05-03T00:52:09.838550,11566,2.0,3.9
2026-05-03T00:52:10.339117,11566,0.0,2.5
2026-05-03T00:52:10.839715,11566,2.0,4.0
2026-05-03T00:52:11.340280,11566,0.0,4.0
2026-05-03T00:52:11.841062,11566,0.0,3.0
2026-05-03T00:52:12.341704,11566,2.0,13.6
2026-05-03T00:52:12.842115,11566,0.0,0.0
2026-05-03T00:52:13.344199,11566,2.0,12.4
2026-05-03T00:52:13.845872,11566,4.0,10.0
2026-05-03T00:52:14.346320,11566,0.0,0.0
2026-05-03T00:52:14.846752,11566,0.0,0.0
2026-05-03T00:52:15.347200,11566,0.0,0.0
2026-05-03T00:52:15.847623,11566,0.0,0.5
2026-05-03T00:52:16.348099,11566,0.0,0.0
2026-05-03T00:52:16.848572,11566,0.0,1.0
2026-05-03T00:52:17.349166,11566,0.0,5.0
2026-05-03T00:52:17.849799,11566,0.0,0.0
2026-05-03T00:52:18.350410,11566,0.0,1.0
2026-05-03T00:52:18.851016,11566,0.0,0.5
2026-05-03T00:52:19.351562,11566,0.0,0.0
2026-05-03T00:52:19.852091,11566,0.0,0.5
2026-05-03T00:52:20.352632,11566,0.0,0.0
2026-05-03T00:52:20.853174,11566,0.0,6.1
2026-05-03T00:52:21.353708,11566,0.0,65.8
2026-05-03T00:52:21.854205,11566,0.0,100.0
2026-05-03T00:52:22.354761,11566,0.0,99.5
2026-05-03T00:52:22.855321,11566,0.0,100.0
2026-05-03T00:52:23.355902,11566,0.0,100.0
2026-05-03T00:52:23.861830,11566,2.0,100.0
2026-05-03T00:52:24.365927,11566,0.0,99.5
2026-05-03T00:52:24.868649,11566,0.0,99.5
2026-05-03T00:52:25.371508,11566,0.0,100.0
2026-05-03T00:52:25.877974,11566,0.0,100.0
2026-05-03T00:52:26.380824,11566,0.0,100.0
2026-05-03T00:52:26.881448,11566,0.0,100.0
2026-05-03T00:52:27.388950,11566,0.0,100.0
2026-05-03T00:52:27.891877,11566,0.0,100.0
2026-05-03T00:52:28.392439,11566,0.0,100.0
2026-05-03T00:52:28.893052,11566,0.0,100.0
2026-05-03T00:52:29.395963,11566,0.0,100.0
2026-05-03T00:52:29.896483,11566,0.0,100.0
2026-05-03T00:52:30.397090,11566,2.0,100.0
2026-05-03T00:52:30.897691,11566,0.0,100.0
2026-05-03T00:52:31.398285,11566,0.0,100.0
2026-05-03T00:52:31.905426,11566,0.0,100.0
2026-05-03T00:52:32.405929,11566,0.0,100.0
2026-05-03T00:52:32.906505,11566,0.0,100.0
2026-05-03T00:52:33.407090,11566,0.0,100.0
2026-05-03T00:52:33.909940,11566,0.0,100.0
2026-05-03T00:52:34.410459,11566,0.0,100.0
2026-05-03T00:52:34.910978,11566,0.0,100.0
2026-05-03T00:52:35.411538,11566,0.0,100.0
2026-05-03T00:52:35.912055,11566,2.0,100.0
2026-05-03T00:52:36.412606,11566,0.0,100.0
2026-05-03T00:52:36.913551,11566,0.0,99.5
2026-05-03T00:52:37.414653,11566,0.0,99.5
2026-05-03T00:52:37.919456,11566,57.4,99.5
2026-05-03T00:52:38.426165,11566,161.8,100.0
2026-05-03T00:52:38.927208,11566,22.0,99.5
2026-05-03T00:52:39.427942,11566,0.0,99.5
2026-05-03T00:52:39.928484,11566,30.0,99.5
2026-05-03T00:52:40.429492,11566,167.7,100.0
2026-05-03T00:52:40.934719,11566,77.2,99.0
2026-05-03T00:52:41.441268,11566,0.0,99.5
2026-05-03T00:52:41.944547,11566,2.0,99.5
2026-05-03T00:52:42.447313,11566,2.0,99.5
2026-05-03T00:52:42.957873,11566,62.7,99.5
2026-05-03T00:52:43.462233,11566,172.5,100.0
2026-05-03T00:52:43.963572,11566,85.8,99.0
2026-05-03T00:52:44.464246,11566,0.0,99.5
2026-05-03T00:52:44.966744,11566,2.0,99.5
2026-05-03T00:52:45.468694,11566,0.0,99.5
2026-05-03T00:52:45.969745,11566,0.0,99.5
2026-05-03T00:52:46.470548,11566,2.0,99.5
2026-05-03T00:52:46.971210,11566,0.0,99.5
2026-05-03T00:52:47.472650,11566,0.0,99.5
2026-05-03T00:52:47.979835,11566,96.5,99.5
2026-05-03T00:52:48.480327,11566,189.8,99.0
2026-05-03T00:52:48.981294,11566,183.6,99.5
2026-05-03T00:52:49.489548,11566,35.5,99.0
2026-05-03T00:52:49.995197,11566,0.0,99.5
2026-05-03T00:52:50.497612,11566,2.0,99.5
2026-05-03T00:52:50.999792,11566,0.0,99.5
2026-05-03T00:52:51.500371,11566,0.0,99.5
2026-05-03T00:52:52.003096,11566,103.5,99.5
2026-05-03T00:52:52.513810,11566,188.0,99.0
2026-05-03T00:52:53.014553,11566,141.7,99.0
2026-05-03T00:52:53.518566,11566,0.0,99.5
2026-05-03T00:52:54.019082,11566,2.0,99.5
2026-05-03T00:52:54.520032,11566,0.0,100.0
2026-05-03T00:52:55.021296,11566,0.0,99.5
2026-05-03T00:52:55.529795,11566,86.5,99.5
2026-05-03T00:52:56.033238,11566,186.7,98.0
2026-05-03T00:52:56.534729,11566,131.7,99.0
2026-05-03T00:52:57.035541,11566,2.0,99.5
2026-05-03T00:52:57.536841,11566,2.0,97.0
2026-05-03T00:52:58.038473,11566,0.0,97.5
2026-05-03T00:52:58.540114,11566,0.0,97.0
2026-05-03T00:52:59.041413,11566,0.0,97.5
2026-05-03T00:52:59.541874,11566,2.0,99.0
2026-05-03T00:53:00.049987,11566,45.3,98.0
2026-05-03T00:53:00.550878,11566,179.7,99.5
2026-05-03T00:53:01.054133,11566,166.9,100.0
2026-05-03T00:53:01.554642,11566,67.9,56.6
2026-05-03T00:53:02.055129,11566,0.0,0.0
2026-05-03T00:53:02.555565,11566,0.0,0.5
2026-05-03T00:53:03.056005,11566,0.0,0.5
2026-05-03T00:53:03.559696,11566,0.0,0.5
2026-05-03T00:53:04.060145,11566,0.0,0.5
2026-05-03T00:53:04.560574,11566,0.0,0.0
2026-05-03T00:53:05.061005,11566,0.0,0.5
2026-05-03T00:53:05.561450,11566,0.0,0.0
2026-05-03T00:53:06.061971,11566,0.0,0.0
2026-05-03T00:53:06.562514,11566,0.0,0.0
2026-05-03T00:53:07.063050,11566,0.0,0.5
2026-05-03T00:53:07.569767,11566,3.9,33.8
2026-05-03T00:53:08.070284,11566,0.0,100.0
2026-05-03T00:53:08.573744,11566,0.0,100.0
2026-05-03T00:53:09.079037,11566,0.0,100.0
2026-05-03T00:53:09.579648,11566,0.0,100.0
2026-05-03T00:53:10.080236,11566,0.0,100.0
2026-05-03T00:53:10.582847,11566,0.0,100.0
2026-05-03T00:53:11.083408,11566,0.0,100.0
2026-05-03T00:53:11.585793,11566,0.0,100.0
2026-05-03T00:53:12.086421,11566,0.0,100.0
2026-05-03T00:53:12.586917,11566,0.0,100.0
2026-05-03T00:53:13.087389,11566,2.0,100.0
2026-05-03T00:53:13.587895,11566,0.0,100.0
2026-05-03T00:53:14.088449,11566,0.0,100.0
2026-05-03T00:53:14.589006,11566,0.0,100.0
2026-05-03T00:53:15.089596,11566,0.0,100.0
2026-05-03T00:53:15.590099,11566,0.0,100.0
2026-05-03T00:53:16.090631,11566,0.0,100.0
2026-05-03T00:53:16.591287,11566,0.0,100.0
2026-05-03T00:53:17.091839,11566,0.0,100.0
2026-05-03T00:53:17.592335,11566,0.0,100.0
2026-05-03T00:53:18.093134,11566,0.0,100.0
2026-05-03T00:53:18.595582,11566,0.0,100.0
2026-05-03T00:53:19.096146,11566,0.0,100.0
2026-05-03T00:53:19.596705,11566,2.0,100.0
2026-05-03T00:53:20.097232,11566,0.0,100.0
2026-05-03T00:53:20.597811,11566,0.0,100.0
2026-05-03T00:53:21.098311,11566,0.0,100.0
2026-05-03T00:53:21.598857,11566,0.0,100.0
2026-05-03T00:53:22.099409,11566,0.0,99.5
2026-05-03T00:53:22.600283,11566,0.0,100.0
2026-05-03T00:53:23.102082,11566,2.0,97.5
2026-05-03T00:53:23.603572,11566,0.0,99.5
2026-05-03T00:53:24.104171,11566,0.0,97.5
2026-05-03T00:53:24.607277,11566,0.0,99.5
2026-05-03T00:53:25.109712,11566,163.1,99.5
2026-05-03T00:53:25.611050,11566,153.7,99.0
2026-05-03T00:53:26.114910,11566,2.0,99.5
2026-05-03T00:53:26.617309,11566,0.0,99.5
2026-05-03T00:53:27.122901,11566,0.0,100.0
2026-05-03T00:53:27.623738,11566,2.0,99.5
2026-05-03T00:53:28.129966,11566,67.2,97.1
2026-05-03T00:53:28.630526,11566,195.8,99.5
2026-05-03T00:53:29.134658,11566,190.5,99.5
2026-05-03T00:53:29.638915,11566,39.7,95.5
2026-05-03T00:53:30.139585,11566,0.0,97.0
2026-05-03T00:53:30.645849,11566,84.9,97.5
2026-05-03T00:53:31.146316,11566,135.9,99.0
2026-05-03T00:53:31.650006,11566,0.0,97.0
2026-05-03T00:53:32.150834,11566,0.0,98.0
2026-05-03T00:53:32.651895,11566,2.0,95.0
2026-05-03T00:53:33.152424,11566,0.0,97.0
2026-05-03T00:53:33.653217,11566,2.0,97.0
2026-05-03T00:53:34.154043,11566,0.0,97.5
2026-05-03T00:53:34.655444,11566,0.0,95.5
2026-05-03T00:53:35.156308,11566,2.0,99.5
2026-05-03T00:53:35.657749,11566,0.0,96.0
2026-05-03T00:53:36.160425,11566,0.0,96.5
2026-05-03T00:53:36.661025,11566,67.9,99.5
2026-05-03T00:53:37.166831,11566,176.0,99.5
2026-05-03T00:53:37.667453,11566,185.8,99.0
2026-05-03T00:53:38.170164,11566,173.0,100.0
2026-05-03T00:53:38.673836,11566,188.6,99.5
2026-05-03T00:53:39.174494,11566,157.8,99.5
2026-05-03T00:53:39.678378,11566,160.8,99.0
2026-05-03T00:53:40.179584,11566,0.0,97.0
2026-05-03T00:53:40.682707,11566,2.0,95.5
2026-05-03T00:53:41.183222,11566,0.0,99.5
2026-05-03T00:53:41.683986,11566,0.0,98.0
2026-05-03T00:53:42.185271,11566,2.0,99.5
2026-05-03T00:53:42.689848,11566,0.0,99.5
2026-05-03T00:53:43.191084,11566,2.0,99.5
2026-05-03T00:53:43.691954,11566,0.0,99.5
2026-05-03T00:53:44.193387,11566,0.0,98.5
2026-05-03T00:53:44.697871,11566,146.5,99.5
2026-05-03T00:53:45.200397,11566,187.1,99.0
2026-05-03T00:53:45.702804,11566,187.1,99.0
2026-05-03T00:53:46.214450,11566,174.0,99.5
2026-05-03T00:53:46.722210,11566,55.1,99.0
2026-05-03T00:53:47.223204,11566,0.0,99.5
2026-05-03T00:53:47.723986,11566,2.0,99.5
2026-05-03T00:53:48.224603,11566,0.0,99.5
2026-05-03T00:53:48.727453,11566,0.0,99.5
2026-05-03T00:53:49.234760,11566,0.0,99.5
2026-05-03T00:53:49.735639,11566,2.0,99.5
2026-05-03T00:53:50.240210,11566,0.0,97.0
2026-05-03T00:53:50.741104,11566,0.0,99.0
2026-05-03T00:53:51.242298,11566,0.0,98.5
2026-05-03T00:53:51.743748,11566,0.0,98.5
2026-05-03T00:53:52.244626,11566,27.9,99.0
2026-05-03T00:53:52.745570,11566,181.7,100.0
2026-05-03T00:53:53.254062,11566,200.5,99.5
2026-05-03T00:53:53.760035,11566,175.9,99.5
2026-05-03T00:53:54.260612,11566,161.8,99.5
2026-05-03T00:53:54.762724,11566,193.2,99.0
2026-05-03T00:53:55.266061,11566,45.7,26.5
2026-05-03T00:53:55.766476,11566,0.0,0.0
2026-05-03T00:53:56.266889,11566,0.0,0.0
2026-05-03T00:53:56.767309,11566,0.0,0.0
2026-05-03T00:53:57.267725,11566,0.0,0.5
2026-05-03T00:53:57.768144,11566,0.0,0.5
2026-05-03T00:53:58.268578,11566,0.0,0.5
2026-05-03T00:53:58.768989,11566,2.0,0.0
2026-05-03T00:53:59.269406,11566,0.0,0.5
2026-05-03T00:53:59.769872,11566,0.0,0.0
2026-05-03T00:54:00.270355,11566,0.0,0.0
2026-05-03T00:54:00.770788,11566,0.0,0.0
2026-05-03T00:54:01.271220,11566,0.0,0.0
2026-05-03T00:54:01.771722,11566,0.0,1.0
2026-05-03T00:54:02.272168,11566,0.0,0.0
2026-05-03T00:54:02.772710,11566,0.0,0.5
2026-05-03T00:54:03.276373,11566,0.0,0.0
2026-05-03T00:54:03.776986,11566,0.0,0.5
2026-05-03T00:54:04.277568,11566,0.0,0.5
2026-05-03T00:54:04.778167,11566,0.0,0.0
2026-05-03T00:54:05.278731,11566,0.0,0.0
2026-05-03T00:54:05.779283,11566,0.0,0.5
2026-05-03T00:54:06.279839,11566,0.0,0.5
2026-05-03T00:54:06.780348,11566,0.0,0.5
2026-05-03T00:54:07.280859,11566,0.0,0.0
2026-05-03T00:54:07.781360,11566,0.0,0.5
2026-05-03T00:54:08.281949,11566,0.0,0.0
2026-05-03T00:54:08.782451,11566,0.0,0.0
2026-05-03T00:54:09.282977,11566,0.0,0.5
2026-05-03T00:54:09.783530,11566,0.0,0.0
2026-05-03T00:54:10.284078,11566,0.0,0.0
2026-05-03T00:54:10.784625,11566,0.0,1.0
2026-05-03T00:54:11.285170,11566,0.0,0.0
2026-05-03T00:54:11.785730,11566,0.0,1.0
2026-05-03T00:54:12.286281,11566,0.0,0.0
2026-05-03T00:54:12.786831,11566,0.0,0.0
2026-05-03T00:54:13.292644,11566,0.0,0.5
2026-05-03T00:54:13.793284,11566,0.0,0.5
2026-05-03T00:54:14.296144,11566,0.0,0.0
2026-05-03T00:54:14.797991,11566,0.0,0.5
2026-05-03T00:54:15.298552,11566,0.0,0.0
2026-05-03T00:54:15.799116,11566,0.0,0.5
2026-05-03T00:54:16.299716,11566,4.0,13.3
2026-05-03T00:54:16.800214,11566,0.0,75.0
2026-05-03T00:54:17.305893,11566,0.0,100.0
2026-05-03T00:54:17.806394,11566,0.0,100.0
2026-05-03T00:54:18.309230,11566,0.0,100.0
2026-05-03T00:54:18.811608,11566,0.0,100.0
2026-05-03T00:54:19.312119,11566,0.0,100.0
2026-05-03T00:54:19.812622,11566,0.0,100.0
2026-05-03T00:54:20.315578,11566,0.0,100.0
2026-05-03T00:54:20.816176,11566,2.0,100.0
2026-05-03T00:54:21.319211,11566,0.0,100.0
2026-05-03T00:54:21.819767,11566,0.0,100.0
2026-05-03T00:54:22.320256,11566,0.0,100.0
2026-05-03T00:54:22.820817,11566,0.0,100.0
2026-05-03T00:54:23.321329,11566,0.0,100.0
2026-05-03T00:54:23.824270,11566,0.0,100.0
2026-05-03T00:54:24.324862,11566,0.0,100.0
2026-05-03T00:54:24.825376,11566,0.0,99.5
2026-05-03T00:54:25.327884,11566,0.0,100.0
2026-05-03T00:54:25.828471,11566,0.0,100.0
2026-05-03T00:54:26.329073,11566,0.0,100.0
2026-05-03T00:54:26.831997,11566,2.0,100.0
2026-05-03T00:54:27.332561,11566,0.0,100.0
2026-05-03T00:54:27.833122,11566,0.0,100.0
2026-05-03T00:54:28.333625,11566,0.0,100.0
2026-05-03T00:54:28.834121,11566,0.0,100.0
2026-05-03T00:54:29.334710,11566,0.0,100.0
2026-05-03T00:54:29.835204,11566,0.0,100.0
2026-05-03T00:54:30.337662,11566,0.0,100.0
2026-05-03T00:54:30.838181,11566,0.0,100.0
2026-05-03T00:54:31.340866,11566,0.0,100.0
2026-05-03T00:54:31.841359,11566,0.0,100.0
2026-05-03T00:54:32.342380,11566,2.0,97.5
2026-05-03T00:54:32.843058,11566,0.0,93.0
2026-05-03T00:54:33.345768,11566,0.0,99.5
2026-05-03T00:54:33.846226,11566,0.0,95.0
2026-05-03T00:54:34.346743,11566,2.0,92.5
2026-05-03T00:54:34.847269,11566,0.0,96.5
2026-05-03T00:54:35.347998,11566,0.0,99.5
2026-05-03T00:54:35.849496,11566,0.0,100.0
2026-05-03T00:54:36.350754,11566,0.0,99.5
2026-05-03T00:54:36.852031,11566,2.0,95.0
2026-05-03T00:54:37.362179,11566,107.8,99.5
2026-05-03T00:54:37.865971,11566,174.6,99.5
2026-05-03T00:54:38.369895,11566,170.7,100.0
2026-05-03T00:54:38.871174,11566,127.8,100.0
2026-05-03T00:54:39.372244,11566,0.0,96.5
2026-05-03T00:54:39.873555,11566,2.0,97.5
2026-05-03T00:54:40.374781,11566,0.0,97.0
2026-05-03T00:54:40.878005,11566,0.0,93.6
2026-05-03T00:54:41.378665,11566,2.0,96.5
2026-05-03T00:54:41.879223,11566,0.0,97.0
